S#,Date,Time,Location,City,Province,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children  ,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F)
74,"Tuesday, August 11, 2009",,Laddha,South Waziristan,FATA,,10,4,10,,,10,14,5,10,Y,missiles targeted Taliban commander's house,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100691266&Issue=NP_LHE&Date=20090812   http://www.geo.tv/8-11-2009/47439.htm    http://archives.dawn.com/archives/44684   http://tribune.com.pk/story/187780/suicide-bombers-two-reluctant-fundamentalists-arrested-with-handler/,69.9,33.0333,25.44,77.792
75,"Friday, August 21, 2009",,Miran shah,South Waziristan,FATA,,,9,13,,,9,13,,3,Y,a compund was targeted,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100698036&Issue=NP_LHE&Date=20090822   http://geo.tv/8-21-2009/47978.htm   http://archives.dawn.com/archives/43545,69.9,33.0333,23.805,74.849
76,"Thursday, August 27, 2009",15:50,Laddha,South Waziristan,FATA,,,0,10,,,,10,5,7,N,missiles were fired on a house,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100702552&Issue=NP_LHE&Date=20090828   http://www.geo.tv/8-27-2009/48316.htm    http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=45064&Cat=6&dt=5/4/2011,69.9,33.0333,24.155,75.479
77,"Tuesday, September 08, 2009",23:45,Mir Ali ,South Waziristan,FATA,,,3,5,,5,5,8,,6,N,unmanned aircrafted are reported to have hit a car and a madrassa in the attack,two senior Al-qaida leader are among those thought to have been killed,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100710467&Issue=NP_LHE&Date=20090908   http://archives.dawn.com/archives/40743   http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=24388&Cat=13&dt=9/8/2009,69.9,33.0333,21.295,70.331
78,"Wednesday, September 09, 2009",,Miran shah,South Waziristan,FATA,,10,0,0,,,,10,,,N,strike targeted a taliban compound,"it wass not immidiately clear that any ""high value targets"" were present in the area at that time",http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100711431&Issue=NP_LHE&Date=20090909   http://geo.tv/9-8-2009/48908.htm   http://archives.dawn.com/archives/41260,69.9,33.0333,20.8,69.44
79,"Monday, September 14, 2009",6:05,mir ali,South Waziristan,FATA,,,4,6,,2,4,8,1,5,N,missile fired slammed in to a car and a house,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100715481&Issue=NP_LHE&Date=20090915  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/14-Sep-2009/Eight--killed-as-US-drone-fired-missiles-in-North-Waziristan   http://archives.dawn.com/archives/41239,69.9,33.0333,22.705,72.869
80,"Thursday, September 24, 2009",23:00,Miran shah,South Waziristan,FATA,,10,2,10,,,10,12,2,3,N,it targeted the compound of haqqani's men,all dead belong to Haqqani's network,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100721580&Issue=NP_LHE&Date=20090925   http://archives.dawn.com/archives/41112   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/25-Sep-2009/Drone-levels-Afghans-NW-home-9-dead,69.9,33.0333,24.19,75.542
81,"Tuesday, September 29, 2009",,Sararogha,South Waziristan,FATA,,,5,12,,,5,12,6,8,N,attack targeted house of local taliban commander- Irfan Mehsud,it is not known if irfan was among dead,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100725232&Issue=NP_LHE&Date=20090930   http://geo.tv/9-30-2009/50011.htm   http://www.dailytimes.com.pk/default.asp?page=2009%5C09%5C30%5Cstory_30-9-2009_pg1_1    http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/30-Sep-2009/Twin-drone-strikes-kill-13-in-Waziristan,69.9,33.0333,22.16,71.888
82,"Tuesday, September 29, 2009",19:30,Miran shah,South Waziristan,FATA,,9,3,4,,,4,12,,2,N,house was targeted that belonged to an afghan national,afghan millitants killed in the attcak were said to be from Jalaluddin Haqani's network,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100725232&Issue=NP_LHE&Date=20090930    http://news.bbc.co.uk/2/hi/south_asia/8280971.stm,69.9,33.0333,22.16,71.888
83,"Wednesday, September 30, 2009",,Miran shah,North Waziristan,FATA,,,0,6,,,,6,,,N,missils hit a vehicle and a compound,,http://english.aljazeera.net/news/asia/2009/09/2009930113649164906.html   http://geo.tv/9-30-2009/50011.htm   http://archives.dawn.com/archives/33359   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Islamabad/30-Sep-2009/US-missile-strike-kills-six-in-NWaziristan,70.1455,32.9746,22.43,72.374
84,"Thursday, October 15, 2009",3:40,Miran shah,North Waziristan,FATA,,4,4,6,,,4,10,,9,Y,attack targeted a suspected militant compound,High profile insurgent commander-Jalaluddin Haqqani is thought to be active in this area,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100740397&Issue=NP_LHE&Date=20091016    http://archives.dawn.com/archives/144865   http://news.bbc.co.uk/2/hi/south_asia/8308157.stm,70.1455,32.9746,14.825,58.685
85,"Wednesday, October 21, 2009",,Spalga,North Waziristan,FATA,,,3,5,,,3,5,,,N,missile struck a house,top Al-qaida explosive expert has been killed in the attack,http://www.theaustralian.com.au/news/world/us-drone-takes-out-al-qaida-kingpin/story-e6frg6so-1225790245210   http://www.foxnews.com/world/2009/10/22/missile-strike-broaden-scope-war-pakistanis/,70.1455,32.9746,11.66,52.988
86,"Saturday, October 24, 2009",11:30,Damadola,Bajaur  Agency,FATA,,,16,22,,11,22,27,,8,N,missile hit a compound of Taliban commander Molvi Faqir,drone pounded a Taliban and Al-qaeda planning session,http://www.dailytimes.com.pk/default.asp?page=2009\10\25\story_25-10-2009_pg1_3    http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/25-Oct-2009/US-drone-strike-kills-27-in-Bajaur   http://archives.dawn.com/archives/41240,71.5,34.6833,19.145,66.461
87,"Thursday, November 05, 2009",1:30,mir ali,North Waziristan,FATA,,,4,6,,,4,6,,8,N,missiles hit a house,,http://www.dailytimes.com.pk/default.asp?page=2009\11\06\story_6-11-2009_pg1_4    http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/05-Nov-2009/At-least-4-killed-as-US-drone-fired-two-missiles-in-North-Waziristan    http://geo.tv/11-5-2009/52403.htm,70.1455,32.9746,14.735,58.523
88,"Wednesday, November 18, 2009",23:00,Mir Ali,North Waziristan,FATA,,,4,5,,,4,5,,4,N,a militant compound was targeted,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100774286&Issue=NP_LHE&Date=20091119   http://geo.tv/11-19-2009/53188.htm   http://www.reuters.com/article/2009/11/18/idUSSP476018,70.1455,32.9746,5.025,41.045
89,"Friday, November 20, 2009",,Mir Ali,North Waziristan,FATA,,8,2,8,,,8,10,,2,N,drone strike on compound,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100775944&Issue=NP_LHE&Date=20091121   http://edition.cnn.com/2009/WORLD/asiapcf/11/20/pakistan.suspected.drones/index.html   http://www.nytimes.com/2009/12/04/world/asia/04drones.html   http://news.bbc.co.uk/1/hi/world/south_asia/8369795.stm,70.1455,32.9746,8.23,46.814
90,"Tuesday, December 08, 2009",6:20,Spalga,North Waziristan,FATA,,3,0,0,,,,3,,3,N,two missiles were fired on a vehicle,Identities of killed taliban are not confirmed,http://news.bbc.co.uk/2/hi/south_asia/8400800.stm   http://geo.tv/12-8-2009/54303.htm    http://archives.dawn.com/archives/34184,70.1455,32.9746,3.95,39.11
91,"Thursday, December 10, 2009",,Laddha,South Waziristan,FATA,4,2,1,6,,3,6,10,,8,N,missiles hit a house- 2 cars were also destroyed,it is not known if senior Al-qaeda or taliban commanders were among killed,http://www.longwarjournal.org/archives/2009/12/us_strike_kills_four.php   http://www.geo.tv/12-10-2009/54461.htm     http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Opinions/10-Dec-2009/No-drone-strike-took-place-today-ISPR,69.9,33.0333,3.005,37.409
92,"Thursday, December 17, 2009",,Datta Khel,North Waziristan,FATA,,,2,2,,,2,2,,,N,missiles hit a car ,,http://geo.tv/12-17-2009/54938.htm    http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/17-Dec-2009/Two-killed-as-US-drone-fired-two-missiles-in-Dattakhel-officials?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+pakistan-news-newspaper-daily-english-onl,70.1455,32.9746,3.53,38.354
93,"Friday, December 18, 2009",3:50,Datta Khel,North Waziristan,FATA,,2,2,6,,,2,8,,8,Y,missiles struck funeral procession and house,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100800031&Issue=NP_LHE&Date=20091218    http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Regional/Islamabad/17-Dec-2009/10-killed-as-US-drone-strikes-7-missiles-in-NWaziristan   http://militarytimes.com/news/2009/12/ap_pakistan_strike_121709/,70.1455,32.9746,2.82,37.076
94,"Friday, December 18, 2009",15:30,Datta Khel,North Waziristan,FATA,,8,,5,,,5,8,5,8,,,,http://archives.dawn.com/archives/135235  http://www.dailytimes.com.pk/default.asp?page=2009\12\19\story_19-12-2009_pg7_11,70.1455,32.9746,2.82,37.076
95,"Saturday, December 26, 2009",19:00,Miran shah,North Waziristan,FATA,,,3,10,,3,3,13,2,3,N,missiles hit a compound used by millitants crossing into Afghanistan,compound was used by local millitamts attached to Haqqani's network,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100808928&Issue=NP_LHE&Date=20091227    http://archives.dawn.com/archives/44609    http://english.aljazeera.net/news/asia/2009/12/20091226153246297157.html,70.1455,32.9746,3.46,38.228
96,"Thursday, December 31, 2009",,Miran shah,North Waziristan,FATA,,,3,4,,,3,4,,2,N,two missiles hit a compound of local tribsmen,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100812488&Issue=NP_LHE&Date=20100101   http://archives.dawn.com/archives/134035    http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/30-Nov-2010/Pak-journalist-serves-legal-notices-on-3-US-officials   http://www.geo.tv/1-1-2010/55971.htm,70.1455,32.9746,5.87,42.566
97,"Friday, January 01, 2010",8:50,Nawana,North Waziristan,FATA,,,0,2,,,,2,,3,,Two missiles struck a car,,http://geo.tv/1-1-2010/55971.htm   http://www.dailytimes.com.pk/default.asp?page=2010%5C01%5C02%5Cstory_2-1-2010_pg1_3   http://archives.dawn.com/archives/34103,70.1455,32.9746,4.855,40.739
98,"Sunday, January 03, 2010",20:30,Mosaki village-near Mir Ali,North Waziristan,FATA,,,0,2,,3,,5,3,4,,Two missiles striked a residential compound ,Arabs were among the dead,http://geo.tv/1-3-2010/56143.htm  http://archives.dawn.com/archives/151440,70.1455,32.9746,4.855,40.739
99,"Wednesday, January 06, 2010",16:00,Sanzalai-Datta Khel,North Waziristan,FATA,,,13,25,,,13,25,,6,Y,missiles hit the house of militants,foreign militants and Al-qaeda people were among the dead,http://geo.tv/1-6-2010/56366.htm   http://archives.dawn.com/archives/34523   http://english.aljazeera.net/news/asia/2010/01/20101613294018697.html,70.1455,32.9746,6.26,43.268
100,"Friday, January 08, 2010",10:00,Tappi Village,North Waziristan,FATA,,4,4,6,,,4,10,2,9,N,drone ired hit a car and another hit a house,house was owned by a local militant,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100820307&Issue=NP_LHE&Date=20100109    http://geo.tv/1-8-2010/56520.htm    http://archives.dawn.com/archives/33261,70.1455,32.9746,4.175,39.515
101,"Saturday, January 09, 2010",11:00,Ismail Khan,North Waziristan,FATA,,,3,4,,,3,4,,6,N,missiles struck a compound used astraining center by militants,identiy of the militants was not known,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100821319&Issue=NP_LHE&Date=20100110   http://geo.tv/1-9-2010/56605.htm    http://edition.cnn.com/2010/WORLD/asiapcf/01/09/pakistan.drone.strike/   http://archives.dawn.com/archives/135230,70.1455,32.9746,3.58,38.444
102,"Thursday, January 14, 2010",6:30,Shakoi,South waziristan,FATA,,10,5,10,,,10,15,,7,N,missiles landed near madrassa- training camp for militants,Us targeted TTP chief Hakeemullah Mehsud-some say he was dead some say not dead,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100826369&Issue=NP_LHE&Date=20100115    http://geo.tv/1-14-2010/56974.htm   http://www.nytimes.com/2010/01/15/world/asia/15pstan.html?ref=world,69.9,33.0333,3.43,38.174
103,"Friday, January 15, 2010",,Mir Ali,South waziristan,FATA,,11,6,6,,3,6,20,,8,N,Targeted a Taliban compound,Rumors around the death of Mehsud,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100826369&Issue=NP_LHE&Date=20100115   http://geo.tv/1-15-2010/57068.htm   http://archives.dawn.com/archives/40477    http://news.bbc.co.uk/2/hi/south_asia/8462195.stm,69.9,33.0333,5.63,42.134
104,"Sunday, January 17, 2010",,shaktoi ,South Waziristan,FATA,,,15,,,,15,20,,,,,,http://news.bbc.co.uk/2/hi/south_asia/8464009.stm   http://edition.cnn.com/2010/WORLD/asiapcf/01/17/pakistan.drone.attack/,69.9,33.0333,5.57,42.026
105,"Tuesday, January 19, 2010",18:30,Booya Village,North Waziristan,FATA,,6,0,5,,,5,6,,4,N,missiles truck a house of  local militant and a vehicle,this area is considered as strong hold of Taiban and Al-Qaeda militants,http://www.dailytimes.com.pk/default.asp?page=2010\01\20\story_20-1-2010_pg7_3    http://archives.dawn.com/archives/144897    http://edition.cnn.com/2010/WORLD/asiapcf/01/19/pakistan.drone/,70.1455,32.9746,6.12,43.016
106,"Friday, January 29, 2010",,Mohammad Khel,North Waziristan,FATA,,,5,9,,6,5,15,,4,N,Targeted a car parked in  a house ,it was an unsuccessful attempt to kill Taliban chief Hakimullah mehsud,http://www.foxnews.com/world/2010/01/30/missiles-kill-taliban-pakistan/?test=latestnews    http://geo.tv/1-30-2010/58118.htm    http://www.nytimes.com/2010/01/31/world/asia/31pstan.html?ref=world,70.1455,32.9746,1.82,35.276
107,"Tuesday, February 02, 2010",17:30,Datta Khel- Degan- Kamar,North Waziristan,FATA,,16,1,16,,,16,17,,8,N,Targeted a Taliban training centers and hideouts,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100844805&Issue=NP_LHE&Date=20100203    http://geo.tv/2-2-2010/58408.htm    http://archives.dawn.com/archives/32982    http://www.dailytimes.com.pk/default.asp?page=2010%5C02%5C03%5Cstory_3-2-2010_pg7_7,70.1455,32.9746,1.06,33.908
108,"Sunday, February 14, 2010",3:30,Mir Ali,North Waziristan,FATA,,,4,7,,,4,7,3,4,N,Targeted a house used for training insurgents,foreigners died were posibly Uzbeks,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100857100&Issue=NP_LHE&Date=20100215    http://geo.tv/2-14-2010/59236.htm    http://archives.dawn.com/archives/135240,70.1455,32.9746,3.185,37.733
109,"Monday, February 15, 2010",14:00,Tappi village- 15 km east of Miranshah,North Waziristan,FATA,,,,,,,,4,,,,,,http://archives.dawn.com/archives/40555,70.1455,32.9746,-1.24,29.768
110,"Wednesday, February 17, 2010",,Tappi Village,North Waziristan,FATA,,3,1,3,,,3,4,,2,N,missiels tuck a house of local resident,house was being used as guesthouse for visiing taliban operating across he border,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100859697&Issue=NP_LHE&Date=20100218    http://geo.tv/2-17-2010/59452.htm    http://archives.dawn.com/archives/83306,70.1455,32.9746,0.68,33.224
111,"Thursday, February 18, 2010",,Dande Darpakhel,North Waziristan,FATA,,4,,,,,1,4,,,N,missiles struck a car,Haqqani's younger brother was killed in the attack,http://www.nytimes.com/2010/02/20/world/asia/20pstan.html?hp    http://archives.dawn.com/archives/33355   http://edition.cnn.com/2010/WORLD/asiapcf/02/19/pakistan.drone.attack/    http://geo.tv/2-18-2010/59522.htm,70.1455,32.9746,5.18,41.324
112,"Wednesday, February 24, 2010",,Darga Mandi,North Waziristan,FATA,,,6,8,,3,8,9,,6,N,missiles hit a compound and a passing vehicle,house was owned by Haqqani's network,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100866615&Issue=NP_LHE&Date=20100225    http://geo.tv/2-24-2010/59892.htm    http://news.bbc.co.uk/2/hi/south_asia/8533777.stm    http://www.nytimes.com/2010/02/25/world/asia/25pstan.html,70.1455,32.9746,8.915,48.047
113,"Monday, March 08, 2010",,miran shah,North Waziristan,FATA,,5,0,0,,,,5,3,4,N,It targeted a house,millitants were gathered it the compound,http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-03-09/page-1/detail-23    http://geo.tv/3-8-2010/60685.htm    http://archives.dawn.com/archives/40734   http://news.bbc.co.uk/2/hi/south_asia/8556922.stm,70.1455,32.9746,9.855,49.739
114,"Wednesday, March 10, 2010",21:20,miran shah,North Waziristan,FATA,,8,6,12,,,12,14,,5,N,drone was fired on a vehicle,it was not immediately clear if high Value targets wre present there or not,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100878694&Issue=NP_LHE&Date=20100311    http://archives.dawn.com/archives/41256    http://news.bbc.co.uk/2/hi/south_asia/8561357.stm,70.1455,32.9746,12.135,53.843
115,"Tuesday, March 16, 2010",12:45,datta khel,North Waziristan,FATA,,10,1,8,,,8,11,2,7,N,missiles hit a house,,http://www.dailytimes.com.pk/default.asp?page=2010\03\17\story_17-3-2010_pg7_14    http://news.bbc.co.uk/2/hi/south_asia/8569728.stm     http://archives.dawn.com/archives/33358     http://english.aljazeera.net/news/asia/2010/03/201031692724310542.html,70.1455,32.9746,15.3,59.54
116,"Tuesday, March 16, 2010",,tol Khel,North Waziristan,FATA,,,0,6,,,,6,,22,N,missiles hit a miitant compound on hills,people killed were from Hafiz gul bahadar group,,70.1455,32.9746,15.3,59.54
117,"Wednesday, March 17, 2010",,Datta khel,North Waziristan,FATA,,,5,7,,,5,7,,2,N,it targeted a vehicle,,http://news.bbc.co.uk/2/hi/south_asia/8571608.stm     http://geo.tv/3-17-2010/61210.htm    http://archives.dawn.com/archives/41257    http://english.aljazeera.net/news/asia/2010/03/20103174368513661.html,70.1455,32.9746,16.74,62.132
118,"Wednesday, March 17, 2010",,Mada Khel,North Waziristan,FATA,,,3,11,,,3,11,,,N,missile targeted a house,,http://news.bbc.co.uk/2/hi/south_asia/8571608.stm     http://geo.tv/3-17-2010/61210.htm    http://archives.dawn.com/archives/41257    http://english.aljazeera.net/news/asia/2010/03/20103174368513661.html,70.1455,32.9746,16.74,62.132
119,"Sunday, March 21, 2010",17:00,Datta Khel,North Waziristan,FATA,,,0,8,,,,8,,4,N,missiles hit a militant compound,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100889315&Issue=NP_LHE&Date=20100322    http://archives.dawn.com/archives/40744    http://news.blogs.cnn.com/2010/03/21/officials-5-militants-killed-in-pakistan-by-drone/,70.1455,32.9746,18.455,65.219
120,"Tuesday, March 23, 2010",21:00,miran shah,North Waziristan,FATA,,,0,6,,,,6,2,3,N,targeted a militant vehicle parked outside a compound,,http://www.dailytimes.com.pk/default.asp?page=2010\03\24\story_24-3-2010_pg7_6    http://archives.dawn.com/archives/33260    http://geo.tv/3-23-2010/61641.htm    http://news.bbc.co.uk/2/hi/south_asia/8584390.stm,70.1455,32.9746,16.27,61.286
121,"Saturday, March 27, 2010",,Mir Ali,North Waziristan,FATA,,,0,4,,,,4,,5,N,missile targeted a houses,houses were used by terrorists as a hideouts,http://www.dailytimes.com.pk/default.asp?page=2010\03\28\story_28-3-2010_pg7_9     http://archives.dawn.com/archives/33262     http://www.geo.tv/3-27-2010/61857.htm,70.1455,32.9746,14.455,58.019
122,"Tuesday, March 30, 2010",23:00,Tappi Area,North Waziristan,FATA,,,3,5,,,3,5,,,N,misiles were fired on a house,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100897937&Issue=NP_LHE&Date=20100331     http://www.geo.tv/3-31-2010/62042.htm    http://archives.dawn.com/archives/133582,70.1455,32.9746,15.145,59.261
123,"Monday, April 12, 2010",21:30,Datta Khel,North Waziristan,FATA,,,5,10,,,5,10,,,N,a house was targeted,the compund was owned by taliban commander Tariq Khan,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100910366&Issue=NP_LHE&Date=20100413    http://geo.tv/4-12-2010/62850.htm    http://archives.dawn.com/archives/150295,70.1455,32.9746,17.72,63.896
124,"Wednesday, April 14, 2010",19:00,Datta Khel,North Waziristan,FATA,,,3,5,,,3,5,3,4,N,targeted a vehicle parked outside a house,arab militants were among dead and injured,http://geo.tv/4-14-2010/62992.htm    http://archives.dawn.com/archives/41265    http://thenews.com.pk/TodaysPrintDetail.aspx?ID=28331&Cat=13&dt=4/15/2010,70.1455,32.9746,18.55,65.39
125,"Friday, April 16, 2010",,Toorikhel,North Waziristan,FATA,,6,0,0,,,,6,22,25,N,missiles hit a house and two vehicles,second hit was made during taliban' attemp to recover the dead and wounded,http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-04-17/page-1/detail-6    http://archives.dawn.com/archives/34943     http://english.aljazeera.net/news/asia/2010/04/2010416681216329.html,70.1455,32.9746,19.385,66.893
126,"Saturday, April 24, 2010",21:00,miran shah,North Waziristan,FATA,,,7,9,,,7,9,,8,N,targeted a taliban compound,nationalities f dead Taliban were not immediately clear,http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-04-25/page-1/detail-12    http://geo.tv/4-24-2010/63744.htm       http://news.blogs.cnn.com/2010/04/24/drone-strike-in-pakistan-kills-7-militants/     http://uk.reuters.com/article/2010/04/26/us-pakistan-violence-idUSTRE63L3G420100426,70.1455,32.9746,18.235,64.823
127,"Monday, April 26, 2010",,Khushali Toorikhel,North Waziristan,FATA,,6,3,5,,,5,9,4,10,N,missiles hit a house,compound was owned by  followers of a local Taliban commander Haleen Khan,http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-04-27/page-1/detail-17                http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100923891&Issue=NP_LHE&Date=20100427              http://www.dailytimes.com.pk/default.asp?page=2010\04\27\story_27-4-2010_pg7_16             Daily Jang 26-Apr-2010/PBC-DJN-26-Apr-2010,70.1455,32.9746,18.735,65.723
128,"Monday, May 03, 2010",15:30,Machi Khel-Mir Ali,North Waziristan,FATA,,,4,7,,,4,7,,2,N,drone targeted a car ,The attack came just after leader Tehreek-e-Taleban chief vowed to attack US in two videos,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100930503&Issue=NP_LHE&Date=20100504                   http://www.dailytimes.com.pk/default.asp?page=2010\05\04\story_4-5-2010_pg7_12                http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-05-04/page-1/detail-25            Daily Jang 03-May-2010/PBC-DJN-03-May-2010,70.1455,32.9746,21.625,70.925
129,"Sunday, May 09, 2010",8:00,Inzarkas in Datta Khel ,North Waziristan,FATA,,,10,11,,,10,11,3,4,N,The missiles struck a militant compound in the village,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100936122&Issue=NP_LHE&Date=20100510                http://www.dailytimes.com.pk/default.asp?page=2010\05\10\story_10-5-2010_pg1_5             http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-05-10/page-1/detail-5              Daily Jang 09-May-2010/PBC-DJN-09-May-2010,70.1455,32.9746,18.065,64.517
130,"Tuesday, May 11, 2010",6:00,Doga- Datta Khel,North Waziristan,FATA,,,14,15,,,14,15,4,8,N,missile hit a taliban house,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100938382&Issue=NP_LHE&Date=20100512        http://www.dailytimes.com.pk/default.asp?page=2010\05\12\story_12-5-2010_pg7_12          http://geo.tv/5-11-2010/64728.htm          http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-05-12/page-1/detail-8             Daily Jang 11-May-2010/PBC-DJN-1-May-2010,70.1455,32.9746,18.98,66.164
131,"Tuesday, May 11, 2010",14:00,Gurwak,North Waziristan,FATA,,7,,7,,,7,14,3,4,N,drone hit a house and vehicle,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100938382&Issue=NP_LHE&Date=20100512          http://www.dailytimes.com.pk/default.asp?page=2010\05\12\story_12-5-2010_pg7_12             http://geo.tv/5-11-2010/64728.htm        http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-05-12/page-1/detail-8           Daily Jang 11-May-2010/PBC-DJN-1-May-2010,70.1455,32.9746,18.98,66.164
132,"Saturday, May 15, 2010",,Tirah valley,Khyber Agency,FATA,,,13,15,,,13,15,4,9,N,missile struck an encampment,Attacked because of the presence of Taliban,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100941628&Issue=NP_LHE&Date=20100516                  http://www.dailytimes.com.pk/default.asp?page=2010\05\16\story_16-5-2010_pg1_4                          http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-05-16/page-1/detail-11                 Daily Jang 15-May-2010/PBC-DJN-15-May-2010,71.1481,34.0983,29.415,84.947
133,"Friday, May 21, 2010",,Muhammad Khel,North Waziristan,FATA,,6,,4,,,6,10,,,Y,missiles hit a terrorists compound/hideout,,http://www.express.com.pk/epaper/index.aspx?Date=20100522                   http://www.dailytimes.com.pk/default.asp?page=2010\05\22\story_22-5-2010_pg7_12               http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-05-22/page-1/detail-16                  Daily Jang 15-May-2010/PBC-DJN-15-May-2010,70.1455,32.9746,23.385,74.093
134,"Friday, May 28, 2010",12:00,Mizai Narai,South Waziristan,FATA,,,8,11,,,8,11,2,4,N,drone struck a house of militants,This house belonged to Omer Khitab believed to be the close associate of Moulvi Nazir,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100953428&Issue=NP_LHE&Date=20100529  http://geo.tv/5-28-2010/65749.htm  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Regional/Islamabad/28-May-2010/Drone-attack-kills-11-in-South-Waziristan  http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/the-newspaper/front-page/8-militants-killed-in-us-drone-attack-950  Daily Jang 28-May-2010/PBC-DJN-28-May-2010,69.9,33.0333,21.705,71.069
135,"Thursday, June 10, 2010",,Khadi village,North Waziristan,FATA,,,0,3,,,,3,,,N,struck on a compound housing militants ,,http://geo.tv/6-10-2010/66472.htm  http://afghanistan.blogs.cnn.com/2010/06/10/drone-strike-kills-3-in-pakistan/,70.1455,32.9746,20.61,69.098
136,"Friday, June 11, 2010",7:30,Bahadar Khel village- Dattakhel,North Waziristan,FATA,,,11,12,,3,11,15,7,12,N,attack targeted militants hideout,area is a strong hold of two groups loyal to Taliban-linked warloards Hafiz Gul Bahadur and Maulvi Sadiq Nor,http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/14-us-drone-strike-kills-four-in-north-waziristan-zj-08  http://geo.tv/6-11-2010/66502.htm  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/11-Jun-2010/New-US-drone-strike-kills-4-people-in-North-Waziristan,70.1455,32.9746,22.465,72.437
