S#,Date,Time,Location,City,Province,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children  ,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F)
20,"Wednesday, August 27, 2008",,Ganghikhel area,South waziristan,FATA,,,0,0,,,,,,4,Y,US missile struck the backyard of the house,the missile attack was carried out at a time when a jirga of Ahmedzai was negotiating a ceasefire between the govt and taliban,http://www.dailytimes.com.pk/default.asp?page=2008\08\29\story_29-8-2008_pg7_8,69.9,33.0333,25.235,77.423
21,"Saturday, August 30, 2008",16:30,Ganghikhel- WANA,south waziristan,FATA,,,4,6,,,4,6,2,4,,missile hit a house near scout camp,this area is considered to be the stronghold of pro-govt warlord Maulvi Nazeer who had expelled Uzbek militants from there.,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100474153&Issue=NP_LHE&Date=20080831,69.9,33.0333,24.175,75.515
22,"Saturday, August 30, 2008",15:00,Gundikili village- Miranshah,North Waziristan,FATA,,,0,0,,6,,6,,8,Y,missile hit a house,,http://www.dailytimes.com.pk/default.asp?page=2008\09\01\story_1-9-2008_pg1_8,70.1455,32.9746,24.255,75.659
23,"Thursday, September 04, 2008",17:00,Muhammand Khel- Miranshah,North Waziristan,FATA,,,4,6,,,4,6,,5,,unmaned aircraft hit a house of tribesman,the house was known to host foreigners,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100477080&Issue=NP_LHE&Date=20080905,70.1455,32.9746,24.8,76.64
24,"Friday, September 05, 2008",9:00,Gorveek- Miranshah,North Waziristan,FATA,,,6,10,,,6,10,,,Y,three missiles were fired from a drone that hit two houses,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100477726&Issue=NP_LHE&Date=20080906,70.1455,32.9746,22.645,72.761
25,"Monday, September 08, 2008",10:20,Dandey darpakhel-Miranshah,North Waziristan,FATA,,7,12,18,,,17,25,19,25,Y,Spy targeted Taliban commander jalaluddin Haqqani's compound near madrassa ,Arab and Uzbek militants had stayed at madrassa but it is not confirmed if anyone of them died,http://edition.cnn.com/2008/WORLD/asiapcf/09/09/pakistan.alqaeda.killed/index.html,70.1455,32.9746,20.55,68.99
26,"Friday, September 12, 2008",5:30,Tol khel,North Waziristan,FATA,,,12,14,,,12,14,12,14,,missile hit a house that had been rented by an afghan terrorist organization- Al Badar, afghan terrorist organization- Al Badar- was using that house as an office,http://www.dailytimes.com.pk/default.asp?page=2008\09\13\story_13-9-2008_pg1_1,70.1455,32.9746,25.485,77.873
27,"Wednesday, September 17, 2008",,Angoor Adda,south waziristan,FATA,,,3,5,,4,5,7,3,6,,missiles hit a house,officer told strike was the result of US and pak intelligence sharing. House belonged to the supporters of pro govt militant,http://www.dailytimes.com.pk/default.asp?page=2008\09\18\story_18-9-2008_pg1_4,69.9,33.0333,22.615,72.707
28,"Wednesday, October 01, 2008",,Mirali,North Waziristan,FATA,,,4,6,,,4,6,,9,,missile struck a house of a local taliban commander ,,http://www.geo.tv/10-1-2008/26034.htm,70.1455,32.9746,24.64,76.352
29,"Friday, October 03, 2008",16:00,Muhammand Khel- Miranshah,North Waziristan,FATA,,,0,5,,16,20,21,,6,Y,missile hit a house in tribal region,most of the foreigners were Arabs,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100493871&Issue=NP_LHE&Date=20081004,70.1455,32.9746,24.585,76.253
30,"Thursday, October 09, 2008",22:00,Tapai-Miranshah,North Waziristan,FATA,,,3,3,3,6,6,9,,,,a residential compund was targeted,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100497741&Issue=NP_LHE&Date=20081010,70.1455,32.9746,19.255,66.659
31,"Saturday, October 11, 2008",,Miranshah,North Waziristan,FATA,,5,4,4,,,4,9,,2,,two missiles struck a compound,,http://www.dailytimes.com.pk/default.asp?page=2008\10\12\story_12-10-2008_pg1_2,70.1455,32.9746,22.595,72.671
32,"Thursday, October 16, 2008",11:30,Sam-WANA,South Waziristan,FATA,,,1,5,1,2,2,7,,7,,an unregistered car carrying Uzbek nationals appeared to be the mein target of the attack,Arabs had been living in one of the house,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100502260&Issue=NP_LHE&Date=20081017,69.9,33.0333,15.875,60.575
33,"Thursday, October 23, 2008",,Miranshah,North Waziristan,FATA,,,4,11,,,4,11,3,6,,missile was fired into a village,strike was aimed at a stronghold of veteran Taliban commander- jalaluddin Jaqqani- an old friend of Osama bin Laden,http://query.nytimes.com/gst/fullpage.html?res=9A01E5DA133BF930A15753C1A96E9C8B63&sec=&spon,70.1455,32.9746,16.47,61.646
34,"Sunday, October 26, 2008",,wana,South Waziristan,FATA,,,7,20,,,7,20,,,,strike targeted a compound,,http://news.bbc.co.uk/2/hi/south_asia/7692373.stm,69.9,33.0333,15.24,59.432
35,"Friday, October 31, 2008",,wana,south Waziristan,FATA,1,,15,27,,,15,28,,8,,missiles were fired on a house,,http://www.geo.tv/10-31-2008/27916.htm   http://archives.dawn.com/2008/11/01/top1.htm,69.9,33.0333,17.5,63.5
36,"Friday, October 31, 2008",,Mirali,North Waziristan,FATA,,12,0,6,,,7,12,,2,,attack on house and a pickup,an al qaeda leader Abu Akash al-Iraqi was suspected killed,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100511793&Issue=NP_LHE&Date=20081101,70.1455,32.9746,17.5,63.5
37,"Friday, November 07, 2008",10:00,kumsham-Miranshah,North Waziristan,FATA,7,1,8,13,,,13,16,,,,4 missiles were fired on a training camp that got destroyed,xilllage is dominated by Wazir tribes ,http://www.longwarjournal.org/archives/2008/11/us_predators_strike_1.php,70.1455,32.9746,16.685,62.033
38,"Friday, November 14, 2008",1:45,miranshah,North Waziristan,FATA,,,4,6,5,9,11,13,3,7,,missile was struck on a house,,http://archives.dawn.com/2008/11/15/top2.htm   http://www.geo.tv/11-14-2008/28769.htm    http://www.dailytimes.com.pk/default.asp?page=2008%5C11%5C15%5Cstory_15-11-2008_pg1_6,70.1455,32.9746,8.815,47.867
39,"Wednesday, November 19, 2008",3:00,Janikhel,Bannu,KPK,,,3,4,,3,4,6,4,7,,missiles were fired on a residential compound,Arab and Turkmen were in killed people,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100524672&Issue=NP_LHE&Date=20081120  http://edition.cnn.com/2008/WORLD/asiapcf/11/19/pakistan.airstrike/index.html?iref=newssearch  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/19-Nov-2008/At-Least-5-killed-7-injured-as-US-drone-fired-2-missiles-in-Bannu,70.6042,32.9861,16.985,62.573
40,"Saturday, November 22, 2008",4:30,Miranshah,North Waziristan,FATA,,,4,5,,,4,5,3,6,Y,misdile hit a highly protected compound of a taliban commander- Moulvi Khaliq noor,Rashid Rauf died in this attack- he had close links with Al Qaida leaders,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100526762&Issue=NP_LHE&Date=20081123  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/23-Nov-2008/US-missile-kills-UK-militant-in-Waziristan,70.1455,32.9746,8.75,47.75
41,"Saturday, November 29, 2008",,Chashma-Miranshah,North Waziristan,FATA,,,0,3,,,,3,2,3,Y,hit a village near Miranshah,,http://www.cnn.com/2008/WORLD/asiapcf/11/29/pakistan.missile/index.html?iref=newssearch   http://archives.dawn.com/2008/11/30/nat10.htm,70.1455,32.9746,13.46,56.228
42,"Friday, December 05, 2008",,Khushal Torikhel- Mirnshah,North Waziristan,FATA,,,3,6,,,3,6,2,3,,missile strike at house,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100535198&Issue=NP_LHE&Date=20081206   http://www.dailytimes.com.pk/default.asp?page=2008%5C12%5C06%5Cstory_6-12-2008_pg1_3   http://archives.dawn.com/2008/12/06/top3.htm   http://www.geo.tv/12-5-2008/30177.htm,70.1455,32.9746,12.465,54.437
43,"Thursday, December 11, 2008",,Azam Warsak,south waziristan,FATA,,,6,7,,,6,7,,,,missile hit a house next to seminary ,,http://archives.dawn.com/2008/12/12/top3.htm   http://www.geo.tv/12-12-2008/30522.htm,69.9,33.0333,7,44.6
44,"Monday, December 15, 2008",,Tappi Tolkhel- Miranshah,North Waziristan,FATA,,,0,2,,,,2,,3,,the missile struck the house of local taliban,it was not immediately clear if the missile was fired from drone or by US forces deployed across border,http://archives.dawn.com/2008/12/16/top5.htm   http://www.geo.tv/12-15-2008/30752.htm,70.1455,32.9746,7.655,45.779
45,"Monday, December 22, 2008",,Ghawakhawa- Wana,South Waziristan,FATA,,,0,3,,,,3,,,,missile was struck on taliabn vehicle,local residents said that trucks were patrolling the area- mounted with heavy guns and had been firing at drones wehereever they spoted them,http://www.dailytimes.com.pk/default.asp?page=2008\12\23\story_23-12-2008_pg7_4   http://archives.dawn.com/2008/12/23/top16.htm,69.9,33.0333,5.69,42.242
46,"Monday, December 22, 2008",,Azam Warsak- Near Wana,South Waziristan,FATA,,,2,5,,,2,5,,,,missile was struck on taliabn vehicle,local residents said that trucks were patrolling the area- mounted with heavy guns and had been firing at drones wehereever they spoted them,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100543170&Issue=NP_LHE&Date=20081223    http://news.bbc.co.uk/2/hi/south_asia/7794930.stm,69.9,33.0333,5.69,42.242
47,"Thursday, January 01, 2009",,Karrikot- Wanna,South Waziristan,FATA,,5,0,0,,3,,5,,1,N,One of the missiles struck a vehicle- and the other two hit a hill top,,http://www.dailytimes.com.pk/default.asp?page=2009\01\02\story_2-1-2009_pg1_7    http://archives.dawn.com/2009/01/02/top7.htm,69.9,33.0333,6.505,43.709
48,"Friday, January 02, 2009",10:00,Laddha,South Waziristan,FATA,,,3,4,,,3,4,,2,N,The two missiles were fired at a building,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100549217&Issue=NP_LHE&Date=20090103    http://www.geo.tv/1-2-2009/31753.htm   http://archives.dawn.com/archives/33498   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Top/02-Jan-2009/At-least-4-killed-several-injured-as-US-drone-fired-2-missiles-in-Laddah-at-S-Waiziristan,69.9,33.0333,6.505,43.709
49,"Friday, January 23, 2009",17:00,Mir Ali (Near Afghan Border),North Waziristan,FATA,,5,9,10,,8,10,22,,4,N,The drone hit the house of a local person; Mir Khalil Khan ,The drone fired three missiles within a time frame of 10 minutes,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100559823&Issue=NP_LHE&Date=20090124   http://geo.tv/1-23-2009/33388.htm   http://archives.dawn.com/archives/124483,70.1455,32.9746,9.365,48.857
50,"Saturday, February 14, 2009",7:45,Laddha,South Waziristan,FATA,,2,30,33,,,30,35,2,6,Y,The drone hit the house which was used as the Madrassa,The missile struck three compounds one of which was where Baitullah Mehsud and his fighters sometimes gather,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100571597&Issue=NP_LHE&Date=20090215   http://nation.com.pk/pakistan-news-newspaper-daily-english-online/Opinions/15-Feb-2009/US-missile-strike-kills-35-in-Ladha/   http://www.geo.tv/2-14-2009/35134.htm,69.9,33.0333,3.055,37.499
51,"Monday, February 16, 2009",10:00,Kurram,Khyber,FATA,,,0,22,,8,,30,3,20,N,The three missiles fired destroyed the house,The taliban were holding meeting at the time of attack,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100572635&Issue=NP_LHE&Date=20090217   http://www.geo.tv/2-16-2009/35249.htm   http://archives.dawn.com/archives/123967,68.50235,25.67848,20,68
52,"Sunday, March 01, 2009",,Sararogha,South Waziristan,FATA,,,8,8,,4,8,12,,14,N,The two missiles struck a house.,The area under attack was the Taliban sanctuary,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100579292&Issue=NP_LHE&Date=20090302   http://www.geo.tv/3-1-2009/36276.htm   http://archives.dawn.com/archives/123881,69.9,33.0333,14.21,57.578
53,"Thursday, March 12, 2009",,Barjo ,Kurram Agency,FATA,,,14,25,,,14,25,15,50,N,US missile struck Taliban training camp,No high profile targets killed,http://www.dailytimes.com.pk/default.asp?page=2009\03\13\story_13-3-2009_pg7_1    http://geo.tv/3-12-2009/37165.htm    http://archives.dawn.com/archives/123967,69.9667,33.8167,14.8,58.64
54,"Sunday, March 15, 2009",22:30,Bannu,Bannu,KPK,,,1,3,1,2,2,5,,,N,The American aircraft hit the house of a local millitant,Five people were killed in the same area last November,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100585594&Issue=NP_LHE&Date=20090316   http://www.geo.tv/3-16-2009/37457.htm    http://news.bbc.co.uk/2/hi/south_asia/7945404.stm,70.6042,32.9861,18.315,64.967
55,"Wednesday, March 25, 2009",17:00,Makin,South Waziristan,FATA,7,,0,7,,4,7,8,,,N,The drone fired missiles at two vehicles,No high value targets were believed to have died,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100590786&Issue=NP_LHE&Date=20090326   http://geo.tv/3-25-2009/38186.htm   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Opinions/Columns/27-Mar-2009/Drone-attacks-will-continue,69.9,33.0333,12.34,54.212
56,"Thursday, March 26, 2009",,Mir Ali (Near Afghan Border),North Waziristan,FATA,,,4,5,,,4,5,,4,Y,The US drone hit the compound of a local pro militant,The strike is second in as many days by the drones,http://timesofindia.indiatimes.com/Suspected-US-missile-strike-kills-four-in-Pakistan-Officials/articleshow/4317107.cms?TOI_latestnews    http://archives.dawn.com/archives/124778,70.1455,32.9746,13,55.4
57,"Wednesday, April 01, 2009",,Khadezai,Orakzai,FATA,,,12,14,,,12,14,15,18,N,The missile hit a house in the tribal region,It was the first such strike in Orakzai,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100594242&Issue=NP_LHE&Date=20090402    http://archives.dawn.com/archives/142065    http://paktribune.com/news/At-least-12-killed-in-Orakzai-region-drone-attack-213156.html,69.8597,32.6674,17.275,63.095
58,"Saturday, April 04, 2009",19:45,Miran shah,North Waziristan,FATA,,,8,13,,,8,13,,4,N,Two missiles were fired onn an alleged Taliban hideout,,http://www.geo.tv/4-4-2009/39021.htm   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/04-Apr-2009/13-killed-as-US-drone-fired-two-missiles-in-Datta-Khel,70.1455,32.9746,15.57,60.026
59,"Wednesday, April 08, 2009",,Gangi Khel- Wana,South Waziristan,FATA,,3,1,3,,,3,4,4,5,N,Us drone attacked militant hideouts,This attack comes the day after Pakistan told visitin US envoys that drone attacks fuelled extremism in the nuclear-armed nation and flagged up red lines in Pakistan's cooperation with washington's war against extremists.,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100598611&Issue=NP_LHE&Date=20090409   http://geo.tv/4-8-2009/39356.htm   http://archives.dawn.com/archives/40545,69.9,33.0333,11.065,51.917
60,"Sunday, April 19, 2009",,Gangi Khel- Wana,South Waziristan,FATA,,,0,3,,,,3,,5,Y,US missile targeted a Taleban base South Waziristan.,It comes a day after a suicide car bomber killed 27 people,http://news.bbc.co.uk/2/hi/south_asia/8006646.stm  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/20-Apr-2009/Drone-kills-8-in-Wana-strike  http://www.cnn.com/2009/WORLD/asiapcf/04/19/pakistan.drone/,69.9,33.0333,20.995,69.791
61,"Wednesday, April 29, 2009",20:15,KaniGaram-Ladha,South Waziristan,FATA,,,6,8,,2,6,10,2,4,N,missile struck a car,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100614585&Issue=NP_LHE&Date=20090430  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Regional/Islamabad/29-Apr-2009/Suspected-US-missile-strike-kills-six-in-S-Waziristan-officials,69.9,33.0333,23.6,74.48
62,"Saturday, May 09, 2009",10:00,Sararogha,South Waziristan,FATA,,,6,10,,,6,10,3,16,N,missles struck a hospital and nearby two cave houses,taliban commander-Betullah mehsud threatened to avenge missile strikes with attacks across the country and in US,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100621965&Issue=NP_LHE&Date=20090510  http://archives.dawn.com/archives/142068  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/09-May-2009/At-least-8-killed-7-injured-as-US-drone-fired-four-missiles-in-South-Waziristan,69.9,33.0333,18.865,65.957
63,"Tuesday, May 12, 2009",4:00,Sra Khawra,South Waziristan,FATA,,,8,10,,,8,10,,4,Y,missiles were fired on house of taliban commander,this area is the stronghold of Baityullah mehsud,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100624021&Issue=NP_LHE&Date=20090513  http://pakistantimes.net/pt/detail.php?newsId=628  http://news.bbc.co.uk/2/hi/south_asia/8045106.stm,69.9,33.0333,22.4,72.32
64,"Saturday, May 16, 2009",8:00,Khaisoor Area,North Waziristan,FATA,2,25,0,25,,4,25,29,,6,N,missiles hit a vehicle and madrassa thought to be the training facility  for militants,Hafiz Gul Bahadar; the taleban commander was running madrassa as training markaz,http://www.nytimes.com/2009/05/17/world/asia/17pstan.html  http://www.geo.tv/5-16-2009/42230.htm  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/16-May-2009/17-killed-several-injured-as-US-drones-fired-two-missiles-in-North-Waziristan  http://webcache.googleusercontent.com/search?q=cache:PXLGFSnCk_AJ:archives.dawn.com/archives/41242+&cd=5&hl=en&ct=clnk&gl=us&client=firefox-a&source=encrypted.google.com,70.1455,32.9746,22.33,72.194
65,"Sunday, June 14, 2009",,Laddha,South Waziristan,FATA,,,3,5,,,3,5,,,N,missile were fired on a vehicle carrying Taliban,,http://archives.dawn.com/archives/44668  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/15-Jun-2009/US-drone-strikes-after-a-lull-5-dead,69.9,33.0333,18.075,64.535
66,"Thursday, June 18, 2009",10:00,Shah Alam- Wana,South Waziristan,FATA,,,0,9,,,,9,,8,N,it struked two places of commander Mullah nazir including his office,All the dead are said to be local Taleban fighters loyal to commander Moulvi Nazir.,http://news.bbc.co.uk/2/hi/south_asia/8106686.stm  http://thenews.com.pk/TodaysPrintDetail.aspx?ID=22822&Cat=13&dt=6/19/2009  http://english.aljazeera.net/news/asia/2009/06/200961875855867303.html,69.9,33.0333,17.425,63.365
67,"Tuesday, June 23, 2009",,wana,South Waziristan,FATA,,,15,50,,,15,50,,,N,missile struck mesud's area wher people were gathered for funeral,,http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-suspected-us-drone-strikes-swaziristan-qs-03    http://geo.tv/6-24-2009/44711.htm  http://archives.dawn.com/archives/151024,69.9,33.0333,21.67,71.006
68,"Friday, July 03, 2009",6:30,KokatKhel,South Waziristan,FATA,,,13,17,,,13,17,25,30,N,missiles targeted Baitullah mehsud's training camp and a mosque,people killed and wounded were taliba fighters,http://www.geo.tv/7-3-2009/45289.htm  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/04-Jul-2009/US-drones-target-Mehsud-hideouts,69.9,33.0333,20.64,69.152
69,"Tuesday, July 07, 2009",10:00,Laddha,South Waziristan,FATA,,,12,12,,4,12,16,,4,N,missiles truck suspected training facility,area is controlled by Baitullah Mehsud,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100664890&Issue=NP_LHE&Date=20090708  http://archives.dawn.com/archives/33357  http://english.aljazeera.net/news/asia/2009/07/20097784914231489.html,69.9,33.0333,25.65,78.17
70,"Wednesday, July 08, 2009",,Laddha,South Waziristan,FATA,,,25,60,,,25,60,5,10,N,missiles attacked a convoy of vehicles moving toeards a Baitullah Mehsud Camp and a Taliban forest camp,Mulana Fazlullah- Taliban commander was reported to be injured,http://www.geo.tv/7-8-2009/45602.htm  http://news.bbc.co.uk/2/hi/8139739.stm,69.9,33.0333,26.815,80.267
71,"Friday, July 10, 2009",,PaindaKhel,South Waziristan,FATA,,,3,8,,,3,8,,,N,missiles hit communication center of Taliban Leader,,http://www.dailytimes.com.pk/default.asp?page=2009\07\11\story_11-7-2009_pg7_7   http://archives.dawn.com/archives/151636   http://www.nytimes.com/2009/07/11/world/asia/11briefs-Pstan.html?_r=2&ref=world,69.9,33.0333,23.24,73.832
72,"Friday, July 17, 2009",16:00,Miran shah,South Waziristan,FATA,,5,0,4,,,4,5,,4,N,missiles were fired at a house,region is known as heaven of Taliban and Al-Qaida millitants,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100671987&Issue=NP_LHE&Date=20090718  http://archives.dawn.com/archives/74370    http://news.bbc.co.uk/2/hi/south_asia/8156039.stm,69.9,33.0333,26.62,79.916
73,"Wednesday, August 05, 2009",,Laddha,South Waziristan,FATA,,1,1,2,,,1,3,3,5,Y,missiles were fired on house of baitullal mehsud's father in law,Baitullah mehsud's wife got died in the attack,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100686528&Issue=NP_LHE&Date=20090806   http://www.geo.tv/8-5-2009/47113.htm   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/06-Aug-2009/Drone-kills-Mehsuds-wife-brother,69.9,33.0333,26.395,79.511
