"S.","Date","Time","Location","City","Province","No.of.Strike","Al.Qaeda","Taliban","Civilians.Min","Civilians.Max","Foreigners.Min","Foreigners.Max","Total.Died.Min","Total.Died.Mix","Injured.Min","Injured.Max","Women.Children","Longitude","Latitude","Year","Tenure","Count","Total.Terrorists.killed"
12,2008-02-28,"2:00","Kalosha","South Waziristan","FATA",1,0,0,7,8,0,6,8,13,0,3,"",69.9,33.0333,"2008","George W. Bush",1,0
13,2008-03-16,"15:35","Dhok Pirbagh- WANA","South Waziristan","FATA",6,0,0,0,0,0,20,0,20,5,8,"",69.9,33.0333,"2008","George W. Bush",1,0
14,2008-04-01,"","Miran shah","North Waziristan","FATA",2,0,0,0,3,0,0,0,3,0,0,"",70.1455,32.9746,"2008","George W. Bush",1,0
15,2008-05-14,"20:00","Damadola Village- near Afghan border","Bajaur  Agency","FATA",2,1,0,12,19,0,0,12,20,0,0,"Y",71.5,34.6833,"2008","George W. Bush",1,1
16,2008-06-14,"","Makeen","South Waziristan","FATA",3,0,0,0,1,0,0,0,1,0,0,"",69.9,33.0333,"2008","George W. Bush",1,0
17,2008-07-28,"","Azam Warsak- Near Wana","South Waziristan","FATA",1,1,0,0,6,0,0,6,7,0,3,"Y",69.9,33.0333,"2008","George W. Bush",1,1
18,2008-08-13,"20:30","Baghar near Angoor adda- WANA","South Waziristan","FATA",1,0,0,10,12,0,8,10,20,0,0,"",69.9,33.0333,"2008","George W. Bush",1,0
19,2008-08-20,"19:00","Zari Noori area","South Waziristan","FATA",1,0,0,6,8,0,0,6,8,0,3,"",69.9,33.0333,"2008","George W. Bush",1,0
20,2008-08-27,"","Ganghikhel area","South Waziristan","FATA",1,0,0,0,0,0,0,0,0,0,4,"Y",69.9,33.0333,"2008","George W. Bush",1,0
21,2008-08-30,"16:30","Ganghikhel- WANA","South Waziristan","FATA",1,0,0,4,6,0,0,4,6,2,4,"",69.9,33.0333,"2008","George W. Bush",1,0
22,2008-08-30,"15:00","Gundikili village- Miranshah","North Waziristan","FATA",1,0,0,0,0,0,6,0,6,0,8,"Y",70.1455,32.9746,"2008","George W. Bush",1,0
23,2008-09-04,"17:00","Muhammand Khel- Miranshah","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,5,"",70.1455,32.9746,"2008","George W. Bush",1,0
24,2008-09-05,"9:00","Gorveek- Miranshah","North Waziristan","FATA",3,0,0,6,10,0,0,6,10,0,0,"Y",70.1455,32.9746,"2008","George W. Bush",1,0
25,2008-09-08,"10:20","Dandey darpakhel-Miranshah","North Waziristan","FATA",4,0,7,12,18,0,0,17,25,19,25,"Y",70.1455,32.9746,"2008","George W. Bush",1,7
26,2008-09-12,"5:30","Tol khel","North Waziristan","FATA",1,0,0,12,14,0,0,12,14,12,14,"",70.1455,32.9746,"2008","George W. Bush",1,0
27,2008-09-17,"","Angoor Adda","South Waziristan","FATA",1,0,0,3,5,0,4,5,7,3,6,"",69.9,33.0333,"2008","George W. Bush",1,0
28,2008-10-01,"","Mirali","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,9,"",70.1455,32.9746,"2008","George W. Bush",1,0
29,2008-10-03,"16:00","Muhammand Khel- Miranshah","North Waziristan","FATA",2,0,0,0,5,0,16,20,21,0,6,"Y",70.1455,32.9746,"2008","George W. Bush",1,0
30,2008-10-09,"22:00","Tapai-Miranshah","North Waziristan","FATA",1,0,0,3,3,3,6,6,9,0,0,"",70.1455,32.9746,"2008","George W. Bush",1,0
31,2008-10-11,"","Miranshah","North Waziristan","FATA",2,0,5,4,4,0,0,4,9,0,2,"",70.1455,32.9746,"2008","George W. Bush",1,5
32,2008-10-16,"11:30","Sam-WANA","South Waziristan","FATA",1,0,0,1,5,1,2,2,7,0,7,"",69.9,33.0333,"2008","George W. Bush",1,0
33,2008-10-23,"","Miranshah","North Waziristan","FATA",1,0,0,4,11,0,0,4,11,3,6,"",70.1455,32.9746,"2008","George W. Bush",1,0
34,2008-10-26,"","wana","South Waziristan","FATA",1,0,0,7,20,0,0,7,20,0,0,"",69.9,33.0333,"2008","George W. Bush",1,0
35,2008-10-31,"","wana","South Waziristan","FATA",1,1,0,15,27,0,0,15,28,0,8,"",69.9,33.0333,"2008","George W. Bush",1,1
36,2008-10-31,"","Mirali","North Waziristan","FATA",1,0,12,0,6,0,0,7,12,0,2,"",70.1455,32.9746,"2008","George W. Bush",1,12
37,2008-11-07,"10:00","kumsham-Miranshah","North Waziristan","FATA",4,7,1,8,13,0,0,13,16,0,0,"",70.1455,32.9746,"2008","George W. Bush",1,8
38,2008-11-14,"1:45","miranshah","North Waziristan","FATA",1,0,0,4,6,5,9,11,13,3,7,"",70.1455,32.9746,"2008","George W. Bush",1,0
39,2008-11-19,"3:00","Janikhel","Bannu","KPK",1,0,0,3,4,0,3,4,6,4,7,"",70.6042,32.9861,"2008","George W. Bush",1,0
40,2008-11-22,"4:30","Miranshah","North Waziristan","FATA",1,0,0,4,5,0,0,4,5,3,6,"Y",70.1455,32.9746,"2008","George W. Bush",1,0
41,2008-11-29,"","Chashma-Miranshah","North Waziristan","FATA",1,0,0,0,3,0,0,0,3,2,3,"Y",70.1455,32.9746,"2008","George W. Bush",1,0
42,2008-12-05,"","Khushal Torikhel- Mirnshah","North Waziristan","FATA",1,0,0,3,6,0,0,3,6,2,3,"",70.1455,32.9746,"2008","George W. Bush",1,0
43,2008-12-11,"","Azam Warsak","South Waziristan","FATA",1,0,0,6,7,0,0,6,7,0,0,"",69.9,33.0333,"2008","George W. Bush",1,0
44,2008-12-15,"","Tappi Tolkhel- Miranshah","North Waziristan","FATA",1,0,0,0,2,0,0,0,2,0,3,"",70.1455,32.9746,"2008","George W. Bush",1,0
45,2008-12-22,"","Ghawakhawa- Wana","South Waziristan","FATA",1,0,0,0,3,0,0,0,3,0,0,"",69.9,33.0333,"2008","George W. Bush",1,0
46,2008-12-22,"","Azam Warsak- Near Wana","South Waziristan","FATA",1,0,0,2,5,0,0,2,5,0,0,"",69.9,33.0333,"2008","George W. Bush",1,0
47,2009-01-01,"","Karrikot- Wanna","South Waziristan","FATA",1,0,5,0,0,0,3,0,5,0,1,"N",69.9,33.0333,"2009","Barack Obama",1,5
48,2009-01-02,"10:00","Laddha","South Waziristan","FATA",2,0,0,3,4,0,0,3,4,0,2,"N",69.9,33.0333,"2009","Barack Obama",1,0
49,2009-01-23,"17:00","Mir Ali (Near Afghan Border)","North Waziristan","FATA",1,0,5,9,10,0,8,10,22,0,4,"N",70.1455,32.9746,"2009","Barack Obama",1,5
50,2009-02-14,"7:45","Laddha","South Waziristan","FATA",1,0,2,30,33,0,0,30,35,2,6,"Y",69.9,33.0333,"2009","Barack Obama",1,2
51,2009-02-16,"10:00","Kurram","Khyber","FATA",3,0,0,0,22,0,8,0,30,3,20,"N",68.50235,25.67848,"2009","Barack Obama",1,0
52,2009-03-01,"","Sararogha","South Waziristan","FATA",2,0,0,8,8,0,4,8,12,0,14,"N",69.9,33.0333,"2009","Barack Obama",1,0
53,2009-03-12,"","Barjo ","Kurram Agency","FATA",1,0,0,14,25,0,0,14,25,15,50,"N",69.9667,33.8167,"2009","Barack Obama",1,0
54,2009-03-15,"22:30","Bannu","Bannu","KPK",1,0,0,1,3,1,2,2,5,0,0,"N",70.6042,32.9861,"2009","Barack Obama",1,0
55,2009-03-25,"17:00","Makin","South Waziristan","FATA",1,7,0,0,7,0,4,7,8,0,0,"N",69.9,33.0333,"2009","Barack Obama",1,7
56,2009-03-26,"","Mir Ali (Near Afghan Border)","North Waziristan","FATA",1,0,0,4,5,0,0,4,5,0,4,"Y",70.1455,32.9746,"2009","Barack Obama",1,0
